Club name,Club website
Alford & District,http://www.pitchero.com/clubs/alfordhc
Bedford Town,http://www.bedfordhockeyclub.com
Bishop's Stortford,http://bshc.hitssports.com
Blueharts,http://www.blueharts.org.uk
Boston Town,http://www.bostonhockeyclub.org.uk
Bourne Deeping,http://www.pitchero.com/clubs/bdhc
Bury St Edmunds,http://bsehockeyclub.hitssports.com
Cambridge City,http://www.cambridgecityhc.org
Cambridge Nomads,http://www.pitchero.com/clubs/cambridgenomadshockeyclub
Cambridge South,http://www.cambridgesouthhockeyclub.co.uk
Cambridge University,http://www.cuhc.co.uk
City of Peterborough,http://www.cityofpeterboroughhockeyclub.co.uk
Ely City,http://www.pitchero.com/clubs/elycityhockey
Grantham,http://www.granthamhockey.co.uk
Haverhill,http://www.haverhillhockeyclub.org
Horncastle,http://www.horncastlehockeyclub.co.uk
Ipswich,http://www.ipswichhockeyclub.co.uk
Ipswich Cranes,http://www.pitchero.com/clubs/ipswichcraneshockeyclub
Ipswich - East Suffolk,http://www.ieshc.org
Leadenham,http://www.leadenhamhockey.co.uk
Letchworth,http://www.pitchero.com/clubs/letchworth1
Long Sutton,http://www.longsuttonhockey.co.uk
Louth,http://www.louthhockeyclub.co.uk
March Town,http://www.marchtownhc.org.uk
Newmarket,http://www.newmarkethockeyclub.com
Phoenix,http://www.phoenixhc.co.uk
Royston,http://www.roystonhockey.co.uk
Saffron Walden,http://www.saffronwaldenhockey.co.uk
Shefford & Sandy,http://www.pitchero.com/clubs/sheffordandsandyhockeyclub
Spalding,http://www.spaldinghockeyclub.co.uk
St Ives,http://www.stiveshockeyclub.co.uk
St Neots,http://www.pitchero.com/clubs/stneotshc
Wisbech Town,http://www.wisbechtownhockeyclub.co.uk
