"Match_ID","Match_Date","Match_Type","CSHC_Team_ID","Opposition_Team_ID","Match_Time","Venue_ID","Home_Away","CSHC_Score","Opposition_Score","CSHC_Score_Half","Opposition_Score_Half","Walkover","Ignore_For_Southerners","Ignore_For_Goal_Kings","Match_Report","Short_Comment","Include_Even_If_Off","Exclude_From_Roster","Fee_Adjust","GPG_Pro_Rata_Value","IncludeForFantasy","Override_Kit_Clash","Own_Goals_For"
1,"05/09/2009","Friendly",6,161,"12:30",11,"Home","OFF","OFF","","","False","False","False","Awaiting Report","Ladies' 2nds v Cambridge City : OFF","False","False",0,1,"True","False",0
2,"12/09/2009","Cup",6,134,"11:45",8,"Home","3","0","","","True","True","True","Ladies' 2nd XI win 3-0 on a walkover after Wisbech fail to raise a team.","Ladies' 2nd XI win 3-0 on a walkover after Wisbech fail to raise a team.","False","True",,1,"False","False",
3,"19/09/2009","League",6,69,"11:45",8,"Home","3","0","","","True","True","True","Ladies' 2nds awarded a walkover as March Town 2 have disbanded.","Ladies' 2nds awarded a walkover as March Town 2 have disbanded.","False","True",,1,"False","False",
4,"26/09/2009","League",6,47,"10:30",17,"Away","1","1","0","0","False","False","False","The ladies seconds travelled to Ely excited to play their first match of the season.....at last!!!
Loopy was busy this week keeping for the 2's as well as the 1's.  Ellie (right back), Rhiannan (left back), Pip (centre back) and Tracey (sweeper) made up the back four behind captain Vicky (right mid), Ley (left mid), Sam (defensive mid) and Charlie (attacking centre mid).  This weeks forwards were Lyn (left forward) and Kendra (right forward).  Overall the game was evenly balanced.  South passed well through the midfield and had plenty of attacking chances.  There were some cracking crosses into the D and South came close to getting a stick to them.  Unfortunately Ely managed to ""badger"" through our strong defence and slipped the ball past Loopy.  Also, Ellie nearly ended up with a ""cauliflower"" ear from a stray high ball from an Ely player.  However, South picked themselves up and the communication which had been strong in the start of the first half returned.  Even though South's legs were getting tired this added team support made all the difference.  South found a hole in Ely's defence and Ley fired the ball past the Ely keeper to earn the well deserved equaliser.  
In a nutshell, the seconds played very well and it was an encouraging start to the season.  Lets hope our determination to do well and continued hard work at training leads to a successful season for the 2's this year.  
","Ladies' 2nds earn a point away to Ely 2s","False","False",,1,"True","False",
5,"03/10/2009","League",6,48,"12:00",17,"Away","4","0","2","0","False","False","False","Cambridge South had a brilliant game for their second match of the season and a lot of new faces! Johnny and Ian babysat the team's little Mel mascott (with her warm farmers' hat!) and there were even a herd of cows watching the game from over the fence!!
The first half started off well with Sarah, Lotty and Lou not being challenged too much in defence. The midfield of Vicky, Ley and Breeshey had their work cut out feeding lots of balls up to the attack with good width from Lyn on the right. By half-time, South were 2-0 up (goals by Charlie and Bex). Breeshey managed to out-run everyone on the pitch and fed the forwards dozens of good balls which could/should have been goal opportunities!
Kendra came on after half-time and immediately scored, before supplying an amazing cross for Bex to shoot another goal. The midfield continued to relentlessly pressure Ely and provide a solid link in South's team. Lizzie had a fairly quiet first half but saved every shot on goal from the second half, and Tracey cleared any threatening balls that came the defence's way.","Ladies' 2nds take a fine win at Ely","False","False",,1,"True","False",
6,"10/10/2009","League",6,127,"15:00",37,"Away","2","1","0","0","False","False","False","It was an afternoon start in St Neots for the so far unbeaten Ladies seconds. After a pre-match nap in the sun, and an arrival just in time from Sam, Carla and Vicky B (!), we headed onto the pitch ready to continue our run.
The game started messily, with neither side playing their best hockey. During the first scrappy twenty minutes or so, neither side were particularly dominating the game. A collision in the South half where sweeper Tracey ended up on the ground with a St Neots lady on top of her brought a temporary halt to the game. Tracey hobbled off and after a quick huddle and a mental restart, South finished the first half much more strongly, playing better hockey and creating more chances. The game remained goalless at half-time but we were now playing confident hockey and were sensing a win.
A good half time talk by captain Vicky set us up for the second half. We were aiming to create more space by using the right hand side, and had the confidence to play around their back line who seemed to be sticking fairly firmly to the D. Perhaps they were playing the offside rule? We exploited the new self-pass rule from the off when Charlie went straight from the 'push-back' up the pitch, passing with Carla who sent the ball out wide to Ley on the right, who delivered a cross in which Bex neatly deposited in the back of the goal - result!! Great start to the second half.
Our defensive team soaked up any pressure from St Neots, who didn't manage to advance too far into South's half. They delivered some good balls out to our midfield who pushed up the pitch and released the forwards. Some more neat build up play resulted in a strike from Charlie from near the top of the D into the bottom left hand corner - 2-0! A combination of a new stick and Loopy's voice saying - go for the corners ..!
South kept pushing despite some somewhat rough treatment from St Neots who seemed somewhat put out that they were two goals down. On the stroke of the final whistle, St Neots managed to win a short corner. With all the opposition bar the keeper surrounding our D, the defence was under a lot of pressure. The first short was almost cleared out, but they managed to win another. A sharp strike from the top of the D hit Sarah A directly on her toe which meant her hobbling off (later confirmed as broken - get well soon Sarah!). The final short brought some cracking saves from Loopy, but eventually St Neots managed to scramble the ball over the line to claim a late consolation goal.
A good win for South in a tough game and a tough match environment. We are calling on as much support as possible for the home fixture later in the season. Everyone played well under the pressure, and we kept our heads and played a fair game which we should be very proud of under the circumstances. Hope all our injured players are OK, and looking forward to continuing our winning streak next weekend. ","Ladies' 2nds beat St Neots 4 by 2 goals to 1.","False","False",,1,"True","False",
7,"17/10/2009","League",6,57,"15:15",10,"Home","3","0","","","True","True","True","Ladies' 2nds v Huntingdon 2 cancelled as the opposition fail to raise a team.","Ladies' 2nds v Huntingdon 2 cancelled as the opposition fail to raise a team.","False","True",,1,"False","False",
8,"24/10/2009","Cup",6,47,"15:15",13,"Home","8","0","3","0","False","False","False","Awaiting Report","Ladies' 2nds claim a fine win in the Cup game against Ely.","False","False",,1,"True","False",
9,"07/11/2009","Friendly",6,122,"15:30",7,"Away","OFF","OFF","","","False","False","False","Match cancelled after St Ives fail to raise a team.","Ladies' 2nds v St Ives 4ths match cancelled.","False","False",,1,"True","False",
10,"14/11/2009","League",6,23,"15:30",9,"Home","3","0","2","0","False","False","False","Awaiting Report","Ladies' 2nds beat Bourne 3-0","False","False",,1,"True","False",
