"Team_Id","Team_Name","Club_ID","Short_Name","Sex"
232,"Peterborough Town 2",26,"Peterborough 2","Men"
233,"Peterborough Athletic 1",23,"Peterborough 1","Men"
234,"Bury St Edmunds 2",38,"Bury 2","Men"
235,"Letchworth 1",16,"Letchworth 1","Men"
236,"St Neots Ladies 3",33,"St Neots 3","Ladies"
1,"Alford & District 2",1,"Alford 2","Men"
2,"Alford 1",1,"Alford 1","Men"
4,"BAE Systems 1",20,"BAE Systems 1","Men"
5,"Bedford Town 5",37,"Bedford Town 5","Men"
7,"Bishop's Stortford 3",2,"Bishop's Stortford 3","Men"
9,"Bishop's Stortford 4",2,"Bishop's Stortford 4","Men"
11,"Bishop's Stortford 5",2,"Bishop's Stortford 5","Men"
13,"Bishop's Stortford 6",2,"Bishop's Stortford 6","Men"
14,"Blue Green Zeds",24,"Blue Green Zeds","Men"
15,"Blueharts",3,"Blueharts","Men"
16,"Blueharts 2",3,"Blueharts 2","Men"
17,"Blueharts 3",3,"Blueharts 3","Men"
18,"Blueharts 5",3,"Blueharts 5","Men"
19,"Boston 1",4,"Boston 1","Men"
20,"Boston 2",4,"Boston 2","Men"
21,"Boston 3",4,"Boston 3","Men"
22,"Bourne 2",5,"Bourne 2","Men"
23,"Bourne 3",5,"Bourne 3","Men"
24,"Bourne 4",5,"Bourne 4","Men"
25,"Bourne 5",5,"Bourne 5","Men"
26,"Broxbourne 2",6,"Broxbourne 2","Men"
27,"Bury St Edmunds 3",38,"Bury 3","Men"
28,"Bury St Edmunds 4",38,"Bury St Edmunds 4","Men"
29,"BYE",0,"BYE","Men"
30,"Cambridge City",7,"Cambridge City","Men"
31,"Cambridge City 3",7,"Cambridge City 3","Men"
32,"Cambridge City 4",7,"Cam City 4","Men"
33,"Cambridge City 5",7,"Cam City 5","Men"
34,"Cambridge Ladies 2",8,"Cambridge Ladies 2","Ladies"
35,"Cambridge Nomads 2",9,"Nomads 2","Men"
36,"Cambridge Nomads 3",9,"Nomads 3","Men"
37,"Cambridge Nomads 4",9,"Cambridge Nomads 4","Men"
38,"Cambridge Nomads XI",9,"Cambridge Nomads XI","Men"
39,"Cambridge University 3",10,"Cambridge University 3","Men"
40,"City of Peterborough 3",24,"City of Peterborough 3","Men"
41,"City of Peterborough 4",24,"City of P 4","Men"
42,"City of Peterborough 5",24,"City of P 5","Men"
43,"City of Peterborough 6",24,"City of P 6","Men"
44,"City of Peterborough 7",24,"City of P 7","Men"
45,"City of Peterborough 8",24,"City of Peterborough 8","Men"
46,"Ely City 1",11,"Ely City 1","Men"
47,"Ely City 2",11,"Ely City 2","Men"
48,"Ely City 3",11,"Ely City 3","Men"
49,"Ely City 4",11,"Ely City 4","Men"
50,"Harlow Town 1",12,"Harlow Town 1","Men"
51,"Harlow Town 2",12,"Harlow Town 2","Men"
52,"Harlow Town 3",12,"Harlow Town 3","Men"
53,"Horncastle 1",13,"Horncastle 1","Men"
54,"Horncastle 2",13,"Horncastle 2","Men"
55,"Horncastle 3",13,"Horncastle 3","Men"
56,"Huntingdon 1",14,"Huntingdon 1","Men"
57,"Huntingdon 2",14,"Huntingdon 2","Men"
58,"Kettering 1",15,"Kettering 1","Men"
59,"Kettering 2",15,"Kettering 2","Men"
60,"Kettering 3",15,"Kettering 3","Men"
61,"Kettering XI",15,"Kettering XI","Men"
62,"Letchworth 5",16,"Letchworth 5","Men"
63,"Letchworth 6",16,"Letchworth 6","Men"
64,"Lincoln Roses",40,"Lincoln Roses","Men"
65,"Long Sutton 2",17,"Long Sutton 2","Men"
66,"Long Sutton 3",17,"Long Sutton 3","Men"
67,"Long Sutton 4",17,"Long Sutton 4","Men"
68,"March Town 1",18,"March Town 1","Men"
69,"March Town 2",18,"March Town 2","Men"
70,"March Town 3",18,"March Town 3","Men"
71,"March Town 4",18,"March Town 4","Men"
72,"March Town 5",18,"March Town 5","Men"
74,"Market Deeping 1",19,"Market Deeping 1","Men"
75,"Market Deeping 2",19,"Market Deeping 2","Men"
76,"Market Deeping 3",19,"Market Deeping 3","Men"
77,"Market Deeping 4",19,"Market Deeping 4","Men"
78,"MBDA 1",20,"MBDA 1","Men"
79,"Newmarket",21,"Newmarket","Men"
80,"Newmarket 1",21,"Newmarket 1","Men"
81,"Newmarket 2",21,"Newmarket 2","Men"
82,"Newmarket Veterans",21,"Newmarket","Men"
83,"North & South",41,"North & South","Men"
84,"Pelicans 3",22,"Pelicans 3","Men"
85,"Pelicans Vets",22,"Pelicans Vets","Men"
86,"Perse U-16",42,"Perse U-16","Men"
87,"Perse U-18a",42,"Perse U-18a","Men"
88,"Perse U18b",42,"Perse U18b","Men"
89,"Peterborough Athletic 2",23,"Peterborough 2","Men"
90,"Peterborough Athletic 3",23,"Peterborough 3","Men"
91,"Peterborough Exiles 1",25,"Peterborough 1","Men"
92,"Peterborough Town 3",26,"Peterborough 3","Men"
93,"Peterborough Town 4",26,"Peterborough 4","Men"
94,"Peterborough Town 5",26,"Peterborough 5","Men"
95,"Peterborough Town 6",26,"Peterborough 6","Men"
96,"Royston 1",27,"Royston 1","Men"
97,"Royston 2",27,"Royston 2","Men"
