"Season_ID","Season_Name","Start_Date","End_Date","Link_To_Rivals_Report","Default_Pitch_Hire","Default_Teas_Cost","Fuel_Per_Mile"
1,"2009/10","01/09/2009","01/07/2010","452",,,
2,"2003/04","01/09/2003","31/08/2004","",0,0,
3,"2004/05","01/09/2004","31/08/2005","",,,
4,"2005/06","01/09/2005","31/08/2006","",,,
5,"2006/07","01/09/2006","31/08/2007","",,,
6,"2007/08","01/09/2007","29/08/2008","552",0,0,0
7,"2008/09","30/08/2008","31/08/2009","453",,,
9,"2010/11","04/09/2010","31/08/2011","510",75,50,15
12,"2011/12","03/09/2011","31/08/2012","582",75,50,16.5
13,"2012/13","01/09/2012","31/08/2013","683",75,50,16.5
