"Team_Season_Id","Team","Season","League_Division","League_Position","Teams_In_League","Cup_Position","Pay_Fuel","Drivers_Free"
1,1,1,"East League Division 3NW","6th",12,"","True","False"
2,2,1,"East League Division 4NW","5th",12,"","True","False"
3,3,1,"East League Division 5NW","6th",12,"","True","False"
4,4,1,"East League Division 6NW(S)","8th",10,"","True","False"
5,5,1,"Cambs League 1st Division","Champions",9,"Champions","False","False"
6,6,1,"Cambs League 2nd Division","Champions",8,"Champions","False","False"
8,7,1,"","",,"","False","False"
9,8,1,"","",,"","False","False"
10,9,1,"","",,"","False","False"
11,1,7,"East League Division 3NW","7th",12,"First Round","False","False"
12,2,7,"East League Division 5NW","Promoted 4th",11,"","False","False"
13,3,7,"East League Division 5NW","9th",11,"","False","False"
14,4,7,"East League Division 7NW","6th",11,"","False","False"
15,5,7,"Cambs League Premier Division","Relegated 9th",9,"","False","False"
16,6,7,"Cambs League 1st Division","Relegated 7th",8,"","False","False"
17,1,9,"East League Division 3NW","4th",12,"Second Round","True","False"
18,2,9,"East League Division 4NW","Promoted 2nd",12,"","True","False"
19,6,9,"Cambs League 1st Division","7th",9,"Group Stage","False","False"
20,5,9,"Cambs League Premier Division","5th",10,"Runners Up","False","False"
21,4,9,"East League Division 6NW(S)","4th",9,"","True","False"
22,3,9,"East League Division 5NW","Relegated 11th",12,"","True","False"
23,1,6,"East League Division 3NW","4th",12,"First Round","False","False"
24,2,6,"East League Division 5NW","5th",12,"","False","False"
25,3,6,"East League Division 6NW","Promoted 2nd",11,"","False","False"
26,4,6,"East League Division 7NW","6th",10,"","False","False"
27,5,6,"Cambs League Premier Division","2nd",9,"Pool position 2nd of 4","False","False"
28,6,6,"Cambs League 2nd Division","Promoted 2nd",9,"Champions","False","False"
29,1,12,"East League Division 3NW","4th",12,"Second Round","True","False"
30,2,12,"East League Division 3NW","9th",12,"N/A","True","False"
31,3,12,"East League Division 6NW(S)","Champions",10,"N/A","True","False"
32,4,12,"East League Division 6NW(S)","8th",10,"N/A","True","False"
33,5,12,"Cambs League Premier Division","6th",9,"Group Stage","False","True"
34,6,12,"Cambs League 1st Division","5th",9,"Group Stage","False","True"
35,7,12,"","",0,"","True","False"
36,1,13,"East League Division 3NW","",0,"","True","False"
37,2,13,"East League Division 3NW","",0,"","True","False"
38,3,13,"East League Division 6NW(S)","",0,"","True","False"
39,4,13,"East League Division 6NW(S)","",0,"","True","False"
40,5,13,"Cambs League Premier Division","",0,"","False","True"
41,6,13,"Cambs League 1st Division","",0,"","False","True"
42,1,5,"East League Division 3NW","6th",12,"","False","False"
43,1,4,"East League Division 4NW","Promoted 2nd",12,"","False","False"
44,1,3,"East League Division 3NW","Relegated 12th",12,"","False","False"
45,1,2,"East League Division 4NW","Promoted 2nd",12,"","False","False"
46,2,2,"East League Division 5NW","8th",12,"","False","False"
47,2,4,"East League Division 5NW","7th",12,"","False","False"
48,2,3,"East League Division 5NW","10th",12,"","False","False"
49,2,5,"East League Division 5NW","8th",12,"","False","False"
50,3,5,"East League Division 7NW","Promoted 3rd",10,"","False","False"
51,3,4,"East League Division 7NW","6th",10,"","False","False"
52,3,3,"East League Division 6NW","Releagated 10th",10,"","False","False"
53,3,2,"East League Division 6NW","6th",10,"","False","False"
54,5,5,"Cambs League 1st Division","Promoted 2nd",8,"","False","False"
55,5,4,"Cambs League 1st Division","5th",8,"","False","False"
56,5,3,"Cambs League 1st Division","6th",8,"","False","False"
57,5,2,"Cambs League 1st Division","5th",9,"","False","False"
58,1,14,"East League Division 3NW","",12,"","True","False"
59,2,14,"East League Division 3NW","",12,"","True","False"
60,3,14,"East League Division 4NW","",12,"","True","False"
61,4,14,"East League Division 6NW(S)","",10,"","True","False"
62,10,14,"East League Division 6NW(S)","",10,"","True","False"
63,5,14,"East League Division 3NW(S)","",9,"","False","True"
64,6,14,"East League Division 4NW(S)","",9,"","False","True"
