"Team_ID","Team_Name","Sex","Fill_Blanks","Long_Name","Medium_Name","Position","Link","Anchor","Southerners","Rivals","Use_For_Personal_Stats"
1,"M1","Men","True","Cambridge South Men's I","Men's 1sts",1,"5","M1","True","True","True"
2,"M2","Men","True","Cambridge South Men's II","Men's 2nds",2,"8","M2","True","True","True"
3,"M3","Men","True","Cambridge South Men's III","Men's 3rds",3,"18","M3","True","True","True"
4,"M4","Men","True","Cambridge South Men's IV","Men's 4ths",4,"19","M4","True","True","True"
5,"L1","Ladies","True","Cambridge South Ladies' I","Ladies' 1sts",6,"20","L1","True","True","True"
6,"L2","Ladies","True","Cambridge South Ladies' II","Ladies' 2nds",7,"21","L2","True","True","True"
7,"Mixed","Mixed","False","Cambridge South Mixed XI","Mixed Team",8,"52","Mixed","True","True","True"
8,"Indoor","Men","False","Cambridge South Indoor XI","Indoor Team",9,"84","Indoor","False","False","False"
9,"Vets","Men","False","Cambridge South Veterans' XI","Veterans",10,"Vets","Vets","False","True","True"
10,"M5","Men","True","Cambridge South Men's V","Men's 5ths",5,"688","M5","True","True","True"
