Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge University 3,20,18,2,0,76,9,67,56,
Bourne Deeping 1,20,14,5,1,90,19,71,47,
L1,20,14,4,2,103,22,81,46,
St Ives 2,20,11,6,3,78,23,55,39,
Ely City 1,20,12,3,5,80,29,51,39,
Spalding 2,20,9,4,7,46,32,14,31,
Leadenham 1,20,8,4,8,36,41,-5,28,
Huntingdon 1,20,8,2,10,34,61,-27,26,
Haverhill Ladies 1,21,7,6,8,50,41,9,27,
City of Peterborough 3,21,3,4,14,22,52,-30,13,
Newmarket 2,20,2,1,17,10,142,-132,7,
March Town 1,21,4,1,16,31,97,-66,13,
Spalding 3,21,0,2,19,11,99,-88,2,
