Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 4,20,17,1,2,124,12,112,52,
Haverhill Ladies 2,20,16,2,2,69,7,62,50,
St Ives 3,21,15,2,4,89,20,69,47,
Cambridge Nomads 2,21,11,6,4,72,23,49,39,
L2,20,12,1,7,63,27,36,37,
Bury St Edmunds 3,20,12,4,4,46,19,27,40,
Ely City 2,21,10,2,9,57,39,18,32,
St Neots 3,20,8,0,12,43,53,-10,24,
Huntingdon 2,20,6,3,11,23,46,-23,21,
Newmarket 3,21,6,0,15,26,71,-45,18,
Cambridge City 5,20,5,2,13,18,79,-61,17,
L3,20,1,2,17,8,116,-108,5,
Ely City 3,20,0,1,19,0,126,-126,1,
