Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 3,22,19,2,1,84,23,61,59,P
Peterborough Town 3,22,17,4,1,81,27,54,55,P
Market Deeping 1,22,16,3,3,88,32,56,51,
Peterborough Athletic 1,22,11,3,8,51,39,12,36,
St Ives 1,22,10,5,7,63,40,23,35,
St Neots 2,22,10,5,7,50,47,3,35,
Cambridge Nomads 2,22,8,7,7,64,53,11,31,
Long Sutton 2,22,7,2,13,43,75,-32,23,
Spalding 2,22,3,6,13,40,74,-34,15,
Horncastle 1,22,4,2,16,31,72,-41,14,R
St Ives 2,22,2,4,16,36,81,-45,10,R
Peterborough Athletic 2,22,3,1,18,24,92,-68,10,R
