Team,Season,League tables url,Fixtures url
m1,2013-2014,http://www.east-leagues.co.uk/showdata/sqlresults/tablesmen.asp?Submit=League+table&divblock=NW,http://www.east-leagues.co.uk/showdata/sqlresults/Resultsmen.asp?division=3nw
m1,2012-2013,http://www.east-leagues.co.uk/showdata/EML%20tables%201213.asp?division=3NW,
m1,2011-2012,http://www.east-leagues.co.uk/showdata/EML%20tables%201112.asp?division=3NW,
m1,2010-2011,http://www.east-leagues.co.uk/showdata/EML%20tables%201011.asp?division=3NW,
m1,2009-2010,http://www.east-leagues.co.uk/showdata/EML%20tables%200910.asp?division=3NW,
m1,2008-2009,http://www.east-leagues.co.uk/showdata/EML%20tables%200809.asp?division=3NW,
m1,2007-2008,http://www.east-leagues.co.uk/showdata/EML%20tables%200708asp.asp?division=3NW,
m1,2006-2007,http://www.east-leagues.co.uk/showdata/EML%20tables%200607.asp?division=3NW,
m1,2005-2006,http://www.east-leagues.co.uk/showdata/EML%20tables%200506.asp?division=4NW,
m1,2004-2005,http://www.east-leagues.co.uk/showdata/EML%20tables%200405.asp?division=3NW,
m1,2003-2004,http://www.east-leagues.co.uk/leagues/history/2003-4%20tables/2003-4.mens.tables.nw.htm,
m1,2002-2003,http://www.east-leagues.co.uk/leagues/history/2002-3tables/2002-3.men.NW.htm,
m1,2001-2002,http://www.east-leagues.co.uk/leagues/history/2001-02tables/2001-2men.NW.htm,
m1,2000-2001,http://www.east-leagues.co.uk/leagues/history/2000-01tables/2000-1men.NW.htm,
m1,1999-2000,http://www.east-leagues.co.uk/leagues/history/1999-2000tables/1999-00men.NW.htm,
m1,1998-1999,http://www.east-leagues.co.uk/leagues/history/1998-99tables/1998-99men.A-5NW.htm,
m2,2013-2014,http://www.east-leagues.co.uk/showdata/sqlresults/tablesmen.asp?Submit=League+table&divblock=NW,http://www.east-leagues.co.uk/showdata/sqlresults/Resultsmen.asp?division=3nw
m2,2012-2013,http://www.east-leagues.co.uk/showdata/EML%20tables%201213.asp?division=3NW,
m2,2011-2012,http://www.east-leagues.co.uk/showdata/EML%20tables%201112.asp?division=3NW,
m2,2010-2011,http://www.east-leagues.co.uk/showdata/EML%20tables%201011.asp?division=4NW,
m2,2009-2010,http://www.east-leagues.co.uk/showdata/EML%20tables%200910.asp?division=4NW,
m2,2008-2009,http://www.east-leagues.co.uk/showdata/EML%20tables%200809.asp?division=5NW,
m2,2007-2008,http://www.east-leagues.co.uk/showdata/EML%20tables%200708asp.asp?division=5NW,
m2,2006-2007,http://www.east-leagues.co.uk/showdata/EML%20tables%200607.asp?division=5NW,
m2,2005-2006,http://www.east-leagues.co.uk/showdata/EML%20tables%200506.asp?division=5NW,
m2,2004-2005,http://www.east-leagues.co.uk/showdata/EML%20tables%200405.asp?division=5NW,
m2,2003-2004,http://www.east-leagues.co.uk/leagues/history/2003-4%20tables/2003-4.mens.tables.nw.htm,
m2,2002-2003,http://www.east-leagues.co.uk/leagues/history/2002-3tables/2002-3.men.NW.htm,
m2,2001-2002,http://www.east-leagues.co.uk/leagues/history/2001-02tables/2001-2men.NW.htm,
m2,2000-2001,http://www.east-leagues.co.uk/leagues/history/2000-01tables/2000-1men.NW.htm,
m2,1999-2000,http://www.east-leagues.co.uk/leagues/history/1999-2000tables/1999-00men.NW.htm,
m3,2013-2014,http://www.east-leagues.co.uk/showdata/sqlresults/tablesmen.asp?Submit=League+table&divblock=NW,http://www.east-leagues.co.uk/showdata/sqlresults/Resultsmen.asp?division=4nw
m3,2012-2013,http://www.east-leagues.co.uk/showdata/EML%20tables%201213.asp?division=5NW,
m3,2011-2012,http://www.east-leagues.co.uk/showdata/EML%20tables%201112.asp?division=6NW%28S%29,
m3,2010-2011,http://www.east-leagues.co.uk/showdata/EML%20tables%201011.asp?division=5NW,
