Existing venue name,Full name,Short name,url,is_home,Phone number,Addr1,Addr2,Addr3,City,Post code,Distance from Cambridge,Notes
Arthur Mellows,Arthur Mellows Village College,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Arthur%20Mellows%20Village%20College%20Astro,,,Helpston Road,Glinton,,Peterborough,PE6 7JX,,
Bedford,Bedford Sports and Hockey Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Bedford%20HC%20astro,,01234 211151,Chester Road,,,Bedford,MK40 4HL,,
Bishops Stortford College,Bishops Stortford College,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Bishops%20Stortford%20College,,,Maze Green Road,,,Bishops Stortford,CM23 2PJ,,
Bretton Gate Sports Centre,City of Peterborough HC Astroturf,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=City%20of%20Peterborough%20HC%20astro,,01733 262202,Bretton Gate,Westwood,,Peterborough,PE3 9UZ,,
Coldhams Common,Coldhams Common,Abbey,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Coldhams%20Common,Yes,01223 213352,The Abbey Leisure Complex,Pool Way,Whitehill Road,Cambridge,CB5 8NT,,
Copleston School,Copleston Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Copleston%20Centre,,01473 274178,Copleston Road,,,Ipswich,IP4 5HD,,
Culford School,Culford School,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Culford%20School,,,,,,Culford,IP28 6TX,,
Deeping Leisure Centre,Deeping Leisure Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Deeping%20Leisure%20Centre,,01788 344072,Park Road,,,Deeping St James,PE6 8NF,,
Bourne Deeping Leisure Centre,Deeping Leisure Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Deeping%20Leisure%20Centre,,01788 344072,Park Road,,,Deeping St James,PE6 8NF,,
Ely City Hockey Club,Ely City HC Astroturf,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Ely%20City%20HC%20astro,,01353 662363,Ely Outdoor Sports Association,Downham Road,,Ely,CB6 1AH,,
Four Releet Sports Ground,Four Releet Sports Ground,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Four%20Releet%20Sports%20Ground,,01376 550069,Church Street,Bocking,,Braintree,CM7 5LJ,,
Phoenix Braintree,Four Releet Sports Ground,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Four%20Releet%20Sports%20Ground,,01376 550069,Church Street,Bocking,,Braintree,CM7 5LJ,,
Gainsborough Sports Centre,Gainsborough Sports Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Crane%20HC%20astro,,01473 433644,5 Braziers Wood Road,,,Ipswich,IP3 0SP,,
Ipswich Cranes,Gainsborough Sports Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Crane%20HC%20astro,,01473 433644,5 Braziers Wood Road,,,Ipswich,IP3 0SP,,
"Glen Park, Station Road, Surfleet",Glen Park Astroturf,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Glen%20Park%20Astro%20-%20Spalding%20HC,,,Station Road,,,Surfleet,PE11 4DB,,
Haverhill Leisure Centre,Haverhill Leisure Centre,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Haverhill%20Leisure%20Centre,,01440 702548,Ehringshausen Way,,,Haverhill,CB9 0ER,,
Hitchin Boys,Hitchin Boys School,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Hitchin%20Boys%20School,,,Grammar School Walk,,,Hitchin,SG5 1JB,,
Bishops Hockerill College,Hockerill College,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Hockerill%20College,,,Dunmow Road,,,Bishops Stortford,CM23 5HX,,
Horncastle HC,Horncastle HC Astroturf,,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Horncastle%20HC%20astro,,01507 526742,Playing Fields,Coronation Walk,,Horncastle,LN9 6EB,,
Ipswich Sports Club (Henley Road),Ipswich Sports Club (Henley Road),,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Ipswich%20Sports%20Club%20(Henley%20Road),,,Henley Road,,,Ipswich,IP1 4NJ,,
Ipswich Sports Club (Tuddenham Road),Ipswich Sports Club (Tuddenham Road),,http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Ipswich%20Sports%20Club%20(Tuddenham%20Road),,01473 259060,Tuddenham Road,,,Ipswich,IP4 3QJ,,
